Book ID,Member ID,Lending Date,Return Date
884,10010,2025-01-05,2025-01-20
947,10002,2025-01-12,2025-01-27
999,10004,2025-01-18,2025-02-02
234,10020,2025-01-25,2025-02-09
615,10028,2025-02-03,2025-02-18
318,10009,2025-02-10,2025-02-25
429,10017,2025-02-15,2025-03-02
728,10016,2025-02-22,2025-03-09
103,10005,2025-03-01,2025-03-16
376,10026,2025-03-08,2025-03-23
867,10023,2025-03-14,2025-03-29
808,10034,2025-03-20,2025-04-04
110,10035,2025-03-27,2025-04-11
732,10031,2025-04-05,2025-04-20
132,10007,2025-04-12,
144,10003,2025-04-18,
187,10033,2025-04-22,
201,10022,2025-04-25,
220,10012,2025-05-03,
260,10027,2025-05-10,
284,10018,2025-05-17,
352,10015,2025-05-24,
390,10025,2025-05-31,
422,10030,2025-06-07,
503,10011,2025-06-14,
504,10014,2025-06-21,
506,10008,2025-06-28,
671,10021,2025-06-30,
715,10029,2025-06-30,
871,10001,2025-06-30,
